U1132843960001980000906499800200000123123123AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL        
A220250411DINHEIRO                 1000000000400000000000000000000000000
A220250414DINHEIRO                 1000000001500000000000000000000000000
A220250415DINHEIRO                 1000000000600000000000000000000000000
A220250512DINHEIRO                 1000000002300000000000000000000000000
A220250514DINHEIRO                 1000000003700000000000000000000000000
A220250515DINHEIRO                 1000000003900000000000000000000000000
A220250520DINHEIRO                 1000000010500000000000000000000000000
A220250529DINHEIRO                 1000000000200000000000000000000000000
P21328439600019800000000000923000000031055900PHUSION PLANTE P 43 + B-MAX - SC 25KG             SC    ATN180000000000000100
P21328439600019800000000000924000000031055900PHUSION PLANTE TOP 10.43 + 10,5S - BB 1000KG      T     ATN180000000000000100
P21328439600019800000000000925000000031055900PHUSION PLANTE TOP NZ 19.30 + 11S - BB 1000KG     T     ATN180000000000000100
P21328439600019800000000000926000000031055900PHUSION PLANTE TOP NZ 19.30 + 11S - SC 25KG       SC    ATN180000000000000100
P21328439600019800000000000927000000031055900PHUSION PLANTE TOP S 09.38 + 18S - BB 1000KG      T     ATN180000000000000100
P21328439600019800000000000928000000031055900PHUSION PLANTE TOP S 09.38 + 18S - SC 25KG        SC    ATN180000000000000100
P21328439600019800000000000929000000031059090PHYTOGARD POTASSIO 20LT                           LT    ATN180000000000000100
P21328439600019800000000000930000000031051000PHYTOVIDA MN EDTA 5KG                             KG    ATN180000000000000100
P21328439600019800000000000931000000038089199PIRATE 01LT                                       LT    ATN180000000000000100
P21328439600019800000000000932000000038089199PIRATE 05LT                                       LT    ATN180000000000000100
P21328439600019800000000000933000000038089199PIREPHOS EC 05LT                                  LT    ATN180000000000000100
P21328439600019800000000000934000000038089199PLATINUM NEO 05LT                                 LT    ATN180000000000000100
P21328439600019800000000000935000000038089329PLENUM 01LT                                       LT    ATN180000000000000100
P21328439600019800000000000936000000038089329PLENUM 05LT                                       LT    ATN180000000000000100
P21328439600019800000000000937000000038089329PODIUM EW110 05L BOT BR                           LT    ATN180000000000000100
P21328439600019800000000000938000000031055900PODSET 10LT                                       LT    ATN180000000000000100
P21328439600019800000000000939000000085442000POLIPLUS AZUL 20LT                                LT    ATN180000000000000100
P21328439600019800000000000940000000039052100POLIPLUS VERDE 20LT                               LT    ATN180000000000000100
P21328439600019800000000000941000000085442000POLIPLUS VERDE 5LT                                LT    ATN180000000000000100
P21328439600019800000000000942000000039052100POLIPLUS XTRA SHINE GREEN 20LT                    LT    ATN180000000000000100
P21328439600019800000000000943000000039052100POLIPLUS XTRA SHINE RED 20LT                      LT    ATN180000000000000100
P21328439600019800000000000944000000039052100POLIPLUS XTRA VERMELHO 20LT                       LT    ATN180000000000000100
P21328439600019800000000000945000000031051000POLIQUEL NICOMO  01LT                             LT    ATN180000000000000100
P21328439600019800000000000946000000031052000POLYBLEN MILHO LANCER NS                          SC    ATN180000000000000100
P21328439600019800000000000947000000031052000POLYBLEN MILHO NP-TOP 32.11.00+S                  SC    ATN180000000000000100
P21328439600019800000000000948000000031052000POLYBLEN MILHO NP-TOP B 27.17.10,5 - 25KG         SC    ATN180000000000000100
P21328439600019800000000000949000000031052000POLYBLEN MILHO NP-TOP B 27.17.10,5 - BB 1000KG    T     ATN180000000000000100
P21328439600019800000000000950000000031052000POLYBLEN MILHO NP-TOP B 32.11.10,2+S 25KG         SC    ATN180000000000000100
P21328439600019800000000000951000000031029000POLYBLEN UREIA MILHO PLANTE N-TIMEC 40.7.0S - SC 2SC    ATN180000000000000100
P21328439600019800000000000952000000085442000POQUER 01 LT                                      LT    ATN180000000000000100
P21328439600019800000000000953000000038089329POQUER 05LT                                       LT    ATN180000000000000100
P21328439600019800000000000954000000031051000POTASSIO FULL ACQUA 20LT                          LT    ATN180000000000000100
P21328439600019800000000000955000000038089993POTENZA SINON 1LT                                 LT    ATN180000000000000100
P21328439600019800000000000956000000038089993POTENZA SINON 5LT                                 LT    ATN180000000000000100
P21328439600019800000000000957000000031021090PRATICO (25%K+25%S) 5LT                           LT    ATN180000000000000100
P21328439600019800000000000958000000038089199PREMIO 20 SC CTN 01 LT                            LT    ATN180000000000000100
P21328439600019800000000000959000000023099090PREMIX CARA BRANCA SC 25 KG                       SC    ATN180000000000000100
P21328439600019800000000000960000000038089329PREND 806 ( 2,4-D) 20LT                           LT    ATN180000000000000100
P21328439600019800000000000961000000031059090PREVENTOR 05 LT                                   LT    ATN180000000000000100
P21328439600019800000000000962000000038089299PREVINIL  BD 20 LT                                LT    ATN180000000000000100
P21328439600019800000000000963000000038089299PREVINIL 05 LT                                    LT    ATN180000000000000100
P21328439600019800000000000964000000038089329PRIMATOP 05LT                                     LT    ATN180000000000000100
P21328439600019800000000000965000000038089329PRIMATOP 20LT                                     LT    ATN180000000000000100
P21328439600019800000000000966000000031059090PRIMAX PHOS 02-28-00 - SC 40KG                    SC    ATN180000000000000100
P21328439600019800000000000967000000031021090PRIME ENERGY 05LT                                 LT    ATN180000000000000100
P21328439600019800000000000968000000031021090PRIME ENERGY 20LT                                 LT    ATN180000000000000100
P21328439600019800000000000969000000031052000PRIME IMPULSE 5 LT                                LT    ATN180000000000000100
P21328439600019800000000000970000000031052000PRIME SAFE 20LT                                   LT    ATN180000000000000100
P21328439600019800000000000971000000031052000PRIME SAFE 5LT                                    LT    ATN180000000000000100
P21328439600019800000000000972000000031039090PRIME STOP 5LT                                    LT    ATN180000000000000100
P21328439600019800000000000973000000031021090PRIME SUPREMO 20LT                                LT    ATN180000000000000100
P21328439600019800000000000974000000031052000PRIME VIGORA 20LT                                 LT    ATN180000000000000100
P21328439600019800000000000975000000031052000PRIME VIGORA 5LT                                  LT    ATN180000000000000100
P21328439600019800000000000976000000031052000PRIME VITAL 1LT                                   LT    ATN180000000000000100
P21328439600019800000000000977000000031052000PRIME VITAL 5LT                                   LT    ATN180000000000000100
P21328439600019800000000000978000000038089329PRIMOLEO 05LT                                     LT    ATN180000000000000100
P21328439600019800000000000979000000038089299PRIORIXTRA 05LT                                   LT    ATN180000000000000100
P21328439600019800000000000980000000031059090PROFOL EXCLUSIVE 4KG                              KG    ATN180000000000000100
P21328439600019800000000000981000000031059090PROFOL PRODUTIVIDADE 10KG                         KG    ATN180000000000000100
P21328439600019800000000000982000000031029000PROMETA 10KG                                      KG    ATN180000000000000100
P21328439600019800000000000983000000031055900PRONTO TRES 01LT                                  LT    ATN180000000000000100
P21328439600019800000000000984000000031055900PRONTO TRES 05LT                                  LT    ATN180000000000000100
P21328439600019800000000000985000000038089297PROPICONAZOLE NORTOX 01LT                         LT    ATN180000000000000100
P21328439600019800000000000986000000038089297PROPICONAZOLE NORTOX 05LT                         LT    ATN180000000000000100
P21328439600019800000000000987000000085442000PROTAC NTX 500GR                                  KG    ATN180000000000000100
P21328439600019800000000000988000000085442000PROTANK 01 KG                                     KG    ATN180000000000000100
P21328439600019800000000000989000000038089296PROTREAT FS 01LT                                  LT    ATN180000000000000100
P21328439600019800000000000990000000038089296PROTREAT FS 05LT                                  LT    ATN180000000000000100
P21328439600019800000000000991000000038089199PROVADO SC200 01LT                                LT    ATN180000000000000100
P21328439600019800000000000992000000084249090PULVERIZADOR COSTAL 2T VULCAN TRENT (GASOLINA)    UN    ATN180000000000000100
P21328439600019800000000000993000000031049090PURAKELP 01LT                                     KG    ATN180000000000000100
P21328439600019800000000000994000000031049090PURAKELP 05LT                                     KG    ATN180000000000000100
P21328439600019800000000000995000000038089322QUALITY WG 01 KG                                  KG    ATN180000000000000100
P21328439600019800000000000996000000038089325QUATDOWN (PARAQUAT) 200 20LT                      LT    ATN180000000000000100
P21328439600019800000000000997000000038089191RACIO 3KG                                         KG    ATN180000000000000100
